Name of Campground,Electrical Campsites,Boat Ramp,Dog Friendly,Wheelchair Accessible,Nearest Trail,Trail Difficulty,Distance to East Gate,Distance to West Gate,Distance to Trailer Sanitation Station,Distance to Visitor Centre,Reservation Link
Rock Lake,Yes,Yes,Yes,Yes,Booth's Rock Trail,Difficult,23.2 km,49.2 km,0 km,11.5 km,https://reservations.ontarioparks.com/create-booking/results?resourceLocationId=-2147483555&mapId=-2147483264&searchTabGroupId=0&bookingCategoryId=0&startDate=2020-11-13T00:00:00.000Z&endDate=2020-11-14T00:00:00.000Z&nights=1&isReserving=true&equipmentId=
Coon Lake,No,No,Yes,No,Centenial Ridges Trail,Difficult,20.9 km,46.9 km,1.5 km,9.2 km,https://reservations.ontarioparks.com/create-booking/results?resourceLocationId=-2147483555&mapId=-2147483264&searchTabGroupId=0&bookingCategoryId=0&startDate=2020-11-13T00:00:00.000Z&endDate=2020-11-14T00:00:00.000Z&nights=1&isReserving=true&equipmentId=
